a,k,k h,Omega_cdm,Omega_b,Omega_m,A_s,h,k_horizon,sigma8,delta_cdm,delta_b,delta_m,delta_prime_cdm,delta_prime_b,delta_prime_m
0.03001042,0.01681133,0.0109273645,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-115.88450000000000273,-105.271199999999993224,-114.16240894462576705,-3763.9186584052190483,-3729.3562316577572346,-3758.310633949693056
0.03003639,0.2784455,0.180989575,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-1083.4459999999999127,-959.5340999999999667,-1063.3403236651722636,-35187.918140577807208,-34902.39370842410426,-35141.58956504496018
0.03005617,0.1024415,0.066586975,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-614.0924999999999727,-534.1508000000000038,-601.1213330188149939,-19883.935832873987238,-19679.111490051265719,-19850.701478931488964
0.0300685,0.06642447,0.0431759055,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-442.82920000000001437,-376.5532000000000039,-432.07539988260174368,-14289.7589450637624395,-14111.152352456130757,-14260.778626448394789
0.0300716,0.04953792,0.032199648,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-365.7740999999999758,-336.84100000000000819,-361.07947790185443182,-11922.2735565289276565,-11868.016274187093586,-11913.469887490098699
0.03010663,0.01060726,0.0068947190000000005,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-62.20383000000000351,-59.83404000000000167,-61.819313010739797676,-2015.5608405780947123,-2007.3929078440173726,-2014.2355295153474799
0.03012679,0.008425647,0.00547667055,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-43.724490000000002965,-42.689759999999999707,-43.556596952811339918,-1409.0356274777195722,-1405.3706100716583478,-1408.4409496967493851
0.03013801,0.1979325,0.128656125,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-915.2255999999999858,-808.0661000000000058,-897.83813178103173414,-29612.477564205029921,-29364.328849872799765,-29572.213491640024586
0.03013961,0.01335375,0.0086799375,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-86.504900000000006344,-81.31040000000000134,-85.662051688245739456,-2803.2043324400965503,-2785.840166073344335,-2800.3868604394733666
0.03018784,0.04753057,0.0308948705,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-353.7961999999999989,-326.95240000000001146,-349.4405831916317311,-11492.214427492319373,-11446.568073085483775,-11484.807948957419285
0.03024701,0.1792382,0.11650482999999999,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-877.35829999999998563,-781.18880000000001473,-861.7540453619691334,-28317.295281903527211,-28099.74359840744728,-28281.995817247836385
0.03026139,0.08979081,0.0583640265,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-582.7820000000000391,-532.0322999999999638,-574.5474636698363611,-18860.529483000078471,-18763.140964172853273,-18844.727433009167726
0.03031839,0.06873681,0.0446789265,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-457.84559999999999036,-390.443300000000022,-446.9090488856763841,-14658.302699663419844,-14482.883683914375069,-14629.839590360565126
0.03036563,0.1734242,0.11272573000000001,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-868.1068000000000211,-777.7356999999999516,-853.44338117886707096,-27932.26481237020198,-27737.198861015665898,-27900.613833877578145
0.03039257,0.1678036,0.10907234,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-852.31359999999995125,-763.6173000000000002,-837.9219305970065079,-27399.568310271435621,-27210.900405135434994,-27368.955464891496376
0.03040521,0.05357266,0.034822229,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-392.76499999999998636,-356.02870000000001482,-386.80424758203906777,-12637.746512893412728,-12555.422706658862808,-12624.388830517442329
0.03042681,0.00669273,0.0043502745,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-30.487639999999998963,-30.048069999999999169,-30.416316324497479684,-963.8566079990465596,-962.2784089717640654,-963.6005328453729817
0.03061385,0.2046178,0.13300156999999999,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-949.3144999999999527,-844.431699999999978,-932.2964441886496161,-30270.7211576871523,-30040.07878548654844,-30233.297626254236093
0.03064956,0.1207578,0.07849257,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-705.00469999999995707,-630.56330000000002656,-692.92599977579675397,-22469.077194713972858,-22314.179541308509215,-22443.943837188224279
0.03068582,0.2262291,0.147048915,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-1001.11099999999999,-889.11609999999996035,-982.9389502569858905,-31841.918643146327668,-31591.16645038866045,-31801.232135814632784
0.03073357,0.1,0.065,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-621.66039999999998145,-547.15790000000004056,-609.5717858222212726,-19718.392659054676187,-19538.09216634394761,-19689.13749187983558
0.0307549,0.323461,0.21024965,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-1187.6649999999999636,-1055.5950000000000273,-1166.2356080405456851,-37695.150674004071334,-37403.21269056158053,-37647.781449539455934
0.03082055,0.1289694,0.08383011000000001,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-746.8182000000000471,-676.7101999999999862,-735.44262786784724995,-23712.63403933725931,-23574.76966604395784,-23690.264464925607172
0.03092731,0.07864133,0.0511168645,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-530.0096999999999525,-474.44089999999999918,-520.99322694846273407,-16740.254983456845366,-16628.835632696940593,-16722.176321086117241
0.0309843,0.05981015,0.0388765975,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-427.82220000000000937,-374.03059999999999263,-419.0940915686667836,-13447.9860533041555755,-13311.025165536919303,-13425.763076495804853
0.03102242,0.3668233,0.23843514500000001,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-1265.6359999999999673,-1126.3840000000000146,-1243.0412722863791259,-39833.015325315398513,-39529.91394198002672,-39783.834751779038925
0.03102575,0.03916053,0.0254543445,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-295.57990000000000919,-266.15100000000001046,-290.80483046842141448,-9307.710418347576706,-9252.5019773866806645,-9298.752416372704829
0.03103768,0.1423456,0.09252463999999999,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-784.3873999999999569,-693.47080000000005384,-769.6354695311507612,-24652.91549436160858,-24444.185516134712088,-24619.04742048326807
0.03104065,0.06416902,0.041709863,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-446.47410000000002128,-382.92430000000001655,-436.1626471860004699,-13974.582176996567796,-13809.923247659600747,-13947.864975994174529
0.03104535,0.1377393,0.089530545,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-775.66030000000000655,-693.36779999999998836,-762.30769730579697807,-24407.603907935303141,-24227.036994479993155,-24378.305511907870823
0.03106645,0.2887157,0.18766520500000003,0.2513226502018911,0.04867734979810887,0.3,2e-09,0.65,0.004326073916777189,0.7487395865324111,-1139.3369999999999891,-1014.10400000000004184,-1119.0169648424446223,-35807.729559569335834,-35535.88674929933768,-35763.62093435061979
