Epoch,Train_MSE,Val_MSE,Learning_Rate
1,0.003844433295425794,0.0012664874446910274,0.001
2,0.0008205114444053488,0.0002438000161610091,0.001
3,0.00014838661556428368,4.748492127919809e-05,0.001
4,8.46321813955149e-05,2.4567103677634847e-05,0.001
5,7.067851786937339e-05,0.00014071221127737386,0.001
6,5.178823961284428e-05,3.318048857773536e-05,0.001
7,4.786469188068088e-05,5.0259065305995245e-05,0.001
8,4.8128925303387524e-05,2.0956453548214865e-05,0.001
9,4.101139395482358e-05,1.828271730601687e-05,0.001
10,3.7463567851535755e-05,2.1313979623126156e-05,0.001
11,3.6232430274639494e-05,5.135791463387066e-05,0.001
12,3.4653583085414975e-05,1.2384424181271443e-05,0.001
13,3.165596934895748e-05,4.0751095087137786e-05,0.001
14,3.0335289804215703e-05,4.655804123031245e-06,0.001
15,3.0124997494262982e-05,2.9206621643349523e-05,0.001
16,2.8016608454657376e-05,0.0001004902476957624,0.001
17,2.7688073111280505e-05,1.1861068461012223e-05,0.001
18,3.116822011368597e-05,9.630205154303238e-06,0.001
19,2.5301227674314172e-05,5.396502712632792e-05,0.001
20,2.627009083302405e-05,0.00015460159574861218,0.001
21,2.552387058655699e-05,3.0102262449328973e-05,0.001
22,2.5801995128282727e-05,2.3389159774035378e-05,0.001
23,2.381472605173724e-05,2.7424059790958744e-06,0.001
24,2.6937458274359405e-05,9.910352765837122e-06,0.001
25,1.9991096899788454e-05,5.557165206385252e-06,0.001
26,2.246902101323501e-05,1.196904276147346e-05,0.001
27,2.2925202606805324e-05,1.1754763407209136e-05,0.001
28,2.146800830030146e-05,1.3494607588584578e-05,0.001
29,2.6067471520860842e-05,1.1373226557349595e-05,0.001
30,1.7244120400905333e-05,3.116895851675718e-05,0.001
31,2.0378264930297075e-05,1.0651190071297655e-05,0.001
32,1.9463790812745796e-05,2.4363388060463507e-06,0.001
33,2.183162442119525e-05,3.841957387344575e-05,0.001
34,1.8287748455443113e-05,7.961769528930951e-06,0.001
35,2.0283573601741628e-05,2.5341382988790455e-05,0.001
36,1.9044945365710457e-05,3.701159534249663e-06,0.001
37,1.7984141964822625e-05,2.8419296520002383e-05,0.001
38,2.059480939739181e-05,9.136261099720785e-06,0.001
39,1.948614421086732e-05,4.698974686069404e-06,0.001
40,1.8186924309880223e-05,1.6324488222788567e-05,0.001
41,1.6775351811349094e-05,1.905214018982762e-05,0.001
42,1.9484378650369938e-05,3.5787635666260245e-05,0.001
43,1.6182075432056508e-05,3.924338221348115e-06,0.001
44,1.7878340603065236e-05,7.485183225804653e-06,0.001
45,1.77379435282654e-05,1.014984102055479e-05,0.001
46,1.5146464972587736e-05,1.476588412541936e-05,0.001
47,1.8415943491590698e-05,4.993231409149348e-06,0.001
48,1.5951572629971097e-05,9.875013702996762e-06,0.0006
49,4.555556417597669e-06,3.7476299351476033e-06,0.0006
50,7.158977028557594e-06,1.4875138300361601e-05,0.0006
51,6.727247565730424e-06,4.513578471441776e-06,0.0006
52,5.597451684588432e-06,8.165778269886702e-06,0.0006
53,6.118764310013201e-06,1.3917211807363877e-05,0.0006
54,7.316774220999002e-06,1.6784202873994786e-06,0.0006
55,5.624829509227704e-06,5.384456023472821e-06,0.0006
56,6.653603871484958e-06,1.3044847135523563e-05,0.0006
57,6.6824534123358875e-06,4.488796620126515e-06,0.0006
58,6.02540817093789e-06,1.6597133055808363e-05,0.0006
59,5.818134201725963e-06,1.4928063277357134e-06,0.0006
60,6.161711487353685e-06,3.60294192933395e-06,0.0006
61,6.3572920723294096e-06,1.6560370266294225e-06,0.0006
62,5.98221555826883e-06,1.0197807946468907e-06,0.0006
63,5.2350256895228025e-06,3.7902832956320204e-06,0.0006
64,6.605009004773883e-06,2.6316918380484418e-06,0.0006
65,5.576346621524199e-06,5.141905789796189e-06,0.0006
66,6.417810975291954e-06,4.125920986849979e-06,0.0006
67,6.145298909911951e-06,2.7591965295230206e-06,0.0006
68,5.635479449978613e-06,2.3081760077485625e-06,0.0006
69,5.7714074111891994e-06,4.463704250117622e-06,0.0006
70,6.113067073718809e-06,1.9881530231147944e-06,0.0006
71,5.697518714654091e-06,1.5192187304036652e-05,0.0006
72,5.915936918064068e-06,6.545396839168228e-06,0.0006
73,6.472210494967148e-06,1.6952064608639e-05,0.0006
74,5.265025350055156e-06,4.319507087930743e-06,0.0006
75,5.406242831302384e-06,2.080125802946395e-06,0.0006
76,6.872535830260878e-06,1.549327112860238e-06,0.0006
77,6.033224812408415e-06,4.29564760736278e-05,0.0006
78,5.647523777078346e-06,2.1571486797291947e-06,0.00035999999999999997
79,1.8475162977578501e-06,5.971621730120157e-06,0.00035999999999999997
80,2.3126645598545395e-06,9.687752108395484e-07,0.00035999999999999997
81,2.2317136849239285e-06,8.848342216313022e-07,0.00035999999999999997
82,2.2528501605936584e-06,1.5457761622491302e-06,0.00035999999999999997
83,2.223421710051931e-06,1.6253980194945775e-06,0.00035999999999999997
84,2.2421238349426066e-06,7.736872887575778e-06,0.00035999999999999997
85,2.3486654216614505e-06,1.0947354780788217e-06,0.00035999999999999997
86,2.191273811200293e-06,7.785211562204099e-07,0.00035999999999999997
87,2.2207140933186686e-06,7.511789750847171e-07,0.00035999999999999997
88,2.4917233084417265e-06,6.076780462048115e-07,0.00035999999999999997
89,1.8029902534686464e-06,3.056089765001641e-06,0.00035999999999999997
90,2.235880210930326e-06,2.7942228093448037e-06,0.00035999999999999997
91,2.229961360597692e-06,1.510678591960259e-06,0.00035999999999999997
92,2.380176731230137e-06,5.17389473462495e-07,0.00035999999999999997
93,2.204710600969102e-06,6.019559423367214e-07,0.00035999999999999997
94,2.277125958614262e-06,7.89713183112528e-07,0.00035999999999999997
95,2.0571021863845913e-06,1.7912188096979414e-06,0.00035999999999999997
96,2.1130705836128667e-06,2.786215564863666e-06,0.00035999999999999997
97,2.3018427520053505e-06,1.8148925594263943e-06,0.00035999999999999997
98,2.190398278331398e-06,1.351581650715183e-05,0.00035999999999999997
99,1.9996087519639442e-06,1.2932240231856529e-06,0.00035999999999999997
100,2.2998974973643655e-06,8.162800097898425e-07,0.00035999999999999997
101,2.100614794783427e-06,9.737273401029674e-07,0.00035999999999999997
102,2.1229093052481567e-06,3.4019464886205042e-06,0.00035999999999999997
103,2.3301549807929316e-06,7.863336956264399e-07,0.00035999999999999997
104,1.965280786990985e-06,1.6530400155985638e-06,0.00035999999999999997
105,2.290967957604131e-06,2.264780377049668e-06,0.00035999999999999997
106,2.027903521002647e-06,1.055513131337367e-06,0.00035999999999999997
107,2.1403886194733514e-06,1.0529523805722514e-06,0.00035999999999999997
108,2.2747346662767928e-06,6.647943012297679e-07,0.00021599999999999996
109,5.34928816029473e-07,1.3226577940681055e-06,0.00021599999999999996
110,9.011493491722154e-07,6.078274057994458e-07,0.00021599999999999996
111,8.893928609661878e-07,3.0720425065217954e-07,0.00021599999999999996
112,8.523761856044986e-07,6.253907426968373e-07,0.00021599999999999996
113,8.729494688471646e-07,3.2946423918272386e-07,0.00021599999999999996
114,8.573984138171167e-07,1.3706254743314e-06,0.00021599999999999996
115,8.603771033760111e-07,3.2131303851484147e-07,0.00021599999999999996
116,9.460044225096467e-07,7.385134942794995e-07,0.00021599999999999996
117,7.833906699579339e-07,4.673235008264e-07,0.00021599999999999996
118,8.13548238204625e-07,2.571144884964857e-07,0.00021599999999999996
119,8.189020919448812e-07,2.579076824700483e-07,0.00021599999999999996
120,8.244664596708965e-07,5.181647354573353e-07,0.00021599999999999996
121,7.806577081707229e-07,2.6021610152340816e-07,0.00021599999999999996
122,8.427131365008038e-07,4.044556676463899e-07,0.00021599999999999996
123,8.355949232354403e-07,3.297637449699168e-07,0.00021599999999999996
124,7.558992283121521e-07,2.340111368917644e-06,0.00021599999999999996
125,8.90955923182359e-07,1.3446032796999143e-06,0.00021599999999999996
126,8.316415286207923e-07,3.501898839017181e-06,0.00021599999999999996
127,8.018064388247244e-07,6.788601776931207e-07,0.00021599999999999996
128,8.257224785306621e-07,5.517498797322506e-07,0.00021599999999999996
